ACCTTYPE,IMPDESCRIPTION,EXT CONDITION,INT CONDITION,IMPQUALITY,AYB,EYB,IMPNETSF,BEDROOMCOUNT,BATHCOUNT,MaxOfCURR ACT,ECONOMICAREACODE
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1973,1980,840.0,2.0,1.0,36170,1
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1974,1974,1050.0,0.0,1.0,43240,1
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1974,1974,910.0,3.0,2.0,35770,8
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1973,1978,693.0,2.0,1.0,29840,1
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1973,1978,938.0,2.0,1.0,36870,8
Residential,MANUFACTURED HOUSING,Average,,Fair,1971,1971,480.0,2.0,1.0,31270,1
Residential,MANUFACTURED HOUSING,Average,,Low,1965,1965,570.0,0.0,1.0,37930,1
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1978,1978,840.0,0.0,1.0,34590,1
Residential,Manufactured Housing,Average,,Average,1979,1979,1679.0,2.0,2.0,206270,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1977,1977,854.0,2.0,1.0,41970,1
Residential,Manufactured Housing,Average,,Fair,1978,1978,987.0,3.0,1.5,64670,8
Residential,MANUFACTURED HOUSING,Average,,Fair,2012,2012,891.0,,,29660,1
Residential,MANUFACTURED HOUSING,Average,,Low,1963,1963,400.0,1.0,1.0,35490,8
Residential,Manufactured Housing,Average,,Fair,1982,1982,1064.0,3.0,2.0,49800,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1982,1982,918.0,2.0,1.0,60150,8
Residential,MANUFACTURED HOUSING,Below Average,,Low,1962,1967,530.0,2.0,1.0,32030,1
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1982,1982,1036.0,3.0,2.0,40730,1
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1979,1981,728.0,2.0,1.0,29980,1
Residential,MANUFACTURED HOUSING,Average,,Low,1960,1960,470.0,0.0,1.0,0,1
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1974,1974,714.0,0.0,1.0,29410,1
Residential,Manufactured Housing,Average,,Low,1962,1962,520.0,0.0,1.0,46140,8
Residential,MANUFACTURED HOUSING,Average,,Fair,1965,1985,672.0,2.0,1.0,29350,8
Residential,MANUFACTURED HOUSING,Average,,Fair,1972,1980,952.0,2.0,1.0,62380,8
Residential,Manufactured Housing,Good,,Average,1971,1985,732.0,3.0,2.0,49960,8
Residential,Manufactured Housing,Average,,Fair,1976,1976,784.0,2.0,1.0,51370,8
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1979,1979,938.0,3.0,1.2,35120,1
Residential,Manufactured Housing,Average,,Fair,1976,1976,924.0,2.0,1.0,49730,1
